id,prediction
0,0
1,0
2,0
3,65.54828
4,358.5847
5,1000.2432
6,2057.274
7,2845.077
8,3013.412
9,2765.6646
10,2964.585
11,3880.0361
12,3219.6873
13,3143.3037
14,2918.1123
15,2048.1318
16,1291.1116
17,801.7318
18,403.65216
19,44.538643
20,0
21,0
22,0.39631295
23,7.416021
24,0.9491347
25,0.329229
26,12.969972
27,142.95134
28,675.37976
29,1560.8054
30,1932.8678
31,2599.7148
32,3615.9302
33,4220.3037
34,4560.295
35,4367.637
36,4305.114
37,3873.353
38,3252.8047
39,2573.179
40,1839.5068
41,739.5393
42,306.04166
43,145.81735
44,15.468897
45,0
46,0
47,0
48,0
49,0
50,0
51,272.27792
52,641.2443
53,1205.8219
54,2250.255
55,3345.301
56,3825.0518
57,4428.804
58,4637.3926
59,4570.361
60,4238.448
61,3894.8354
62,2827.3677
63,1924.4882
64,1195.0797
65,745.2297
66,442.68842
67,101.31397
68,0
69,0
70,0
71,0
72,0
73,2.2429924
74,14.024122
75,140.93219
76,327.13983
77,1045.753
78,2416.8118
79,3435.334
80,3903.7786
81,4033.9001
82,3641.12
83,3869.0732
84,3478.9128
85,2680.7014
86,2972.8887
87,2421.7817
88,1629.8009
89,845.93365
90,310.76288
91,132.25499
92,10.202818
93,6.9194865
94,0
95,0
96,0
97,0
98,44.898598
99,362.80457
100,684.26624
101,1185.7734
102,2842.0376
103,3475.0728
104,4782.2065
105,4198.2207
106,4710.3037
107,5068.3623
108,4576.119
109,4060.3892
110,3609.8872
111,2844.8586
112,1865.5863
113,901.7529
114,290.3132
115,58.17086
116,0
117,0
118,0
119,0
120,0
121,0
122,41.52673
123,166.46239
124,544.10315
125,1504.6147
126,2543.3552
127,3956.1133
128,4611.0195
129,3935.64
130,3839.1487
131,3455.2864
132,2992.462
133,3055.947
134,3174.899
135,2509.1387
136,1442.6544
137,866.9723
138,454.37817
139,163.86339
140,0.1925528
141,0.6260369
142,0.41211128
143,0
144,0
145,0
146,62.21947
147,205.82199
148,600.25006
149,1572.9607
150,2798.1743
151,3931.0925
152,4454.4785
153,4194.939
154,3995.44
155,3849.4585
156,3676.7488
157,3450.0256
158,3186.0393
159,2409.478
160,1964.6326
161,976.6277
162,435.15936
163,185.25728
164,3.4832406
165,6.6342397
166,8.066641
167,0.6170757
168,0
169,12.358207
170,28.814842
171,78.66486
172,132.5013
173,192.92761
174,219.60266
175,405.5307
176,595.9055
177,955.2191
178,956.0188
179,1282.9338
180,2042.8671
181,2517.9941
182,2673.6855
183,2221.022
184,1341.1746
185,787.9117
186,285.28363
187,128.8534
188,28.41323
189,5.1367817
190,5.341305
191,0
192,0
193,9.29097
194,67.242874
195,212.01727
196,390.59506
197,938.80994
198,1327.4968
199,2071.7578
200,2443.587
201,1841.7858
202,2645.3552
203,2490.147
204,2045.9045
205,2040.9913
206,1971.794
207,1773.992
208,1085.8713
209,639.0422
210,340.03915
211,93.446655
212,0
213,7.0689464
214,5.348664
215,11.583474
216,6.9512844
217,9.872877
218,89.93375
219,174.98984
220,263.126
221,449.35388
222,906.091
223,1418.9685
224,2225.5088
225,2468.2246
226,1990.5706
227,2032.4531
228,1500.4756
229,1328.409
230,991.9668
231,859.9459
232,502.70685
233,253.4676
234,173.31642
235,115.599915
236,0
237,10.225979
238,0
239,0
240,1.2184458
241,10.014163
242,85.24623
243,202.12073
244,367.02505
245,898.3513
246,1562.034
247,2169.281
248,2185.0596
249,2700.2952
250,2067.6846
251,2346.2373
252,2271.1743
253,2363.3628
254,2408.459
255,1540.8495
256,945.7232
257,584.58136
258,434.6018
259,139.4534
260,66.69497
261,33.308563
262,17.552946
263,1.745928
264,0
265,25.072302
266,70.69583
267,180.23407
268,159.46846
269,823.89233
270,1320.6876
271,1559.8774
272,1766.7815
273,2434.837
274,1922.7323
275,1794.9442
276,1281.5037
277,942.4099
278,916.0746
279,537.9142
280,493.97766
281,443.45334
282,141.06775
283,1.482225
284,0
285,0
286,0
287,14.6564045
288,0
289,9.532232
290,20.965982
291,232.98074
292,393.7653
293,916.1002
294,1211.9978
295,2396.69
296,2110.535
297,2882.691
298,2993.569
299,2911.7876
300,3043.4868
301,2641.5662
302,2645.123
303,1980.75
304,1219.5803
305,980.1119
